Designator,Mid X,Mid Y,Rotation,Layer
BZ1,112.024,-126.731,0.0,top
C1,103.7308,-111.999,180.0,top
C2,67.5951,-60.452,180.0,top
C3,86.5264,-126.731,180.0,top
C4,110.6452,-115.555,0.0,top
D1,98.044,-99.314,90.0,top
D2,103.632,-99.314,90.0,top
D3,109.22,-99.314,90.0,top
D4,132.588,-96.271,90.0,top
D5,195.829,-99.568,0.0,top
D6,201.935,-115.062,90.0,top
D7,201.935,-107.921,90.0,top
J1,65.024,-47.244,0.0,top
J2,189.723,-48.26,270.0,top
J3,203.2,-71.12,0.0,top
J5,161.798,-131.567,90.0,top
R1,82.55,-118.603,0.0,top
R10,165.862,-49.276,180.0,top
R11,165.862,-45.72,180.0,top
R12,179.578,-44.704,180.0,top
R13,131.318,-107.188,0.0,top
R14,182.118,-44.704,0.0,top
R15,194.056,-53.086,90.0,top
R16,200.66,-44.45,270.0,top
R17,191.77,-99.568,180.0,top
R18,201.935,-118.613,270.0,top
R19,197.742,-124.455,180.0,top
R2,94.488,-114.793,270.0,top
R3,93.472,-124.714,270.0,top
R4,104.394,-102.616,180.0,top
R5,98.298,-131.303,0.0,top
R6,119.888,-111.237,270.0,top
R7,63.754,-71.628,0.0,top
R8,160.02,-56.642,270.0,top
R9,165.862,-52.832,180.0,top
RV1,149.034,-120.476,270.0,top
SW1,64.314,-75.982,0.0,top
SW2,197.394,-62.38,90.0,top
U1,133.36,-116.058,0.0,top
U10,164.841,-71.125,90.0,top
U11,165.1,-119.888,90.0,top
U12,164.841,-95.509,90.0,top
U2,143.764,-87.884,0.0,top
U3,116.596,-87.879,0.0,top
U4,78.735,-47.508,0.0,top
U5,82.56,-88.153,0.0,top
U6,98.816,-118.867,0.0,top
U7,66.812,-113.284,0.0,top
U8,109.723,-51.049,0.0,top
U9,137.155,-48.016,0.0,top
X1,65.278,-90.424,270.0,top
