Designator,Mid X,Mid Y,Rotation,Layer
C1,130.81,-91.44,90.0,top
C2,127.0,-87.63,90.0,top
D1,146.05,-95.25,90.0,top
D2,127.0,-107.95,0.0,top
J1,121.92,-115.57,180.0,top
J2,134.62,-85.09,90.0,top
R1,154.94,-101.6,180.0,top
R10,149.352,-90.17,180.0,top
R11,152.908,-95.504,90.0,top
R12,157.226,-92.71,90.0,top
R13,127.254,-98.044,0.0,top
R14,127.254,-114.554,0.0,top
R2,162.052,-98.298,180.0,top
R3,148.59,-105.41,180.0,top
R4,127.254,-111.252,0.0,top
R6,127.254,-104.648,0.0,top
R7,143.256,-90.678,90.0,top
R8,127.254,-101.346,0.0,top
R9,163.83,-91.44,0.0,top
U1,154.925,-105.42,0.0,top
U2,137.16,-97.79,90.0,top
